"Package","Item","Title","Rows","Cols","has_logical","has_binary","has_numeric","has_character","n_logical","n_binary","n_numeric","n_character","CSV","Doc"
"boot","acme","Monthly Excess Returns",60,3,FALSE,FALSE,TRUE,TRUE,0,0,2,1,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/acme.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/acme.html'> DOC </a>"
"boot","aids","Delay in AIDS Reporting in England and Wales",570,6,FALSE,TRUE,TRUE,TRUE,0,1,6,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aids.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aids.html'> DOC </a>"
"boot","aircondit","Failures of Air-conditioning Equipment",12,1,FALSE,FALSE,TRUE,TRUE,0,0,1,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aircondit.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aircondit.html'> DOC </a>"
"boot","aircondit7","Failures of Air-conditioning Equipment",24,1,FALSE,FALSE,TRUE,TRUE,0,0,1,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aircondit7.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aircondit7.html'> DOC </a>"
"boot","amis","Car Speeding and Warning Signs",8437,4,FALSE,TRUE,TRUE,TRUE,0,1,4,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/amis.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/amis.html'> DOC </a>"
"boot","aml","Remission Times for Acute Myelogenous Leukaemia",23,3,FALSE,TRUE,TRUE,TRUE,0,2,3,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aml.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aml.html'> DOC </a>"
"boot","beaver","Beaver Body Temperature Data",100,4,FALSE,TRUE,TRUE,TRUE,0,2,4,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/beaver.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/beaver.html'> DOC </a>"
"boot","bigcity","Population of U.S. Cities",49,2,FALSE,FALSE,TRUE,TRUE,0,0,2,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/bigcity.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/bigcity.html'> DOC </a>"
"boot","brambles","Spatial Location of Bramble Canes",823,3,FALSE,FALSE,TRUE,TRUE,0,0,3,0,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/brambles.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/brambles.html'> DOC </a>"
"boot","breslow","Smoking Deaths Among Doctors",10,5,FALSE,TRUE,TRUE,TRUE,0,1,4,1,"<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/breslow.csv'> CSV </a>","<a href='https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/breslow.html'> DOC </a>"
